Publisher	date	COLLEGE	COMEDY	CRIME	CULTUREARTS	DIVORCE	EDUCATION	ENTERTAINMENT	ENVIRONMENT	FOODDRINK	HOMELIVING	MEDIA	MONEY	PARENTING	POLITICS	QUEERVOICES	RELIGION	SCIENCE	SPORTS	STYLEBEAUTY	TECH	TRAVEL	WEDDINGS	WELLNESS	WOMEN	WORLDPOST
Mashable	20190501	1	2		17		3	20	12	1	6		10	1	3	1		3		5	69	5		4	1	6
Reuters	20190501	1	1	4	24	1	2	16	173			10	396	1	74	5	3	4	66	3	62	26		13	2	330
The New York Times	20190501	3	1		106	1	17	27	36	11	11	2	15	6	84	2	9	8	19	5	17	17	11	13	2	98
People	20190501	6	3	25	27	15	4	105	26	3	8	1	1	36	9	5	1	1	7	48	3	3	18	13	12	8
CNBC	20190501	5	2	1	9		4	18	71	3	1	40	210		31			2	4	4	87	22		9	3	134
Vice	20190501				20		3	17	5	3			7	1	10	3		5	1	1	12	3		10	2	8
The Hill	20190501	6	2	3	25		17	3	45			24	33	1	246	6	1	4			37	12		11		52
CNN	20190501	3	1	3	13	2	8	27	36	1	1	7	12	5	78	1	2	4	2	3	29	7	1	6	1	44
Mashable	20190501	1	2		17		3	20	12	1	6		10	1	3	1		3		5	69	5		4	1	6
Reuters	20190601	2	1	13	33	2	2	21	306		1	28	613	2	88	19	1	3	107	5	133	53		29	6	551
The New York Times	20190601	5	2	10	114	2	6	20	29	8	11	2	15	5	90	12	3	6	24	8	15	10	8	11	4	82
People	20190601	2	1	14	32	12	9	92	17	3	5		1	35	12	6	3	1	6	36	4	6	26	10	1	4
CNBC	20190601	1	3	1	6		3	6	84	1	2	64	215		28	1		3	6	2	100	31		3		153
Vice	20190601				22		1	16	8	5			8	2	9	2	1		1	1	15	2		6		7
The Hill	20190601	1	1	3	21		6	2	51		1	24	35		224	19	3	1		1	28	3	1	5		58
CNN	20190601	4	1	7	30	1	2	25	40	1		5	12	4	77	13	3	8	1	4	16	3	2	9	1	50
Mashable	20190601		1		17			16	13	1	5		8	2	3	5				7	55	1	1	4	1	2
Reuters	20190601	2	1	13	33	2	2	21	306		1	28	613	2	88	19	1	3	107	5	133	53		29	6	551
The New York Times	20190601	5	2	10	114	2	6	20	29	8	11	2	15	5	90	12	3	6	24	8	15	10	8	11	4	82
People	20190601	2	1	14	32	12	9	92	17	3	5		1	35	12	6	3	1	6	36	4	6	26	10	1	4
CNBC	20190601	1	3	1	6		3	6	84	1	2	64	215		28	1		3	6	2	100	31		3		153
Vice	20190601				22		1	16	8	5			8	2	9	2	1		1	1	15	2		6		7
The Hill	20190601	1	1	3	21		6	2	51		1	24	35		224	19	3	1		1	28	3	1	5		58
CNN	20190601	4	1	7	30	1	2	25	40	1		5	12	4	77	13	3	8	1	4	16	3	2	9	1	50
Mashable	20190601		1		17			16	13	1	5		8	2	3	5				7	55	1	1	4	1	2
Reuters	20190701	1	2	10	46	1	2	27	308	2	3	18	821	2	84	13	3	10	108	3	92	45	3	33	3	509
The New York Times	20190701				2		1	1		2					11	1	1	1	3	1	1	1			1	6
People	20190701	1	4	11	36	11	5	70	18	6	7		2	32	8	7	1	1	11	41	7	4	21	7	7	7
CNBC	20190701	2	2	3	8		4	12	67	2	2	38	271	1	25	1		4	5	2	89	11		11		140
Vice	20190701				25		1	14	14	4	1	1	4		10	5		2			13	1		2		9
The Hill	20190701	4	1	3	17	1	9	8	32			17	34	1	266	1	1	4	5		23	7		2	1	44
CNN	20190701	2	1	8	18		2	21	42	1	1	7	11	4	88	3	2	6	4	3	19	7	5	9	2	44
Mashable	20190701		4		22			12	13		7		12	1	6			1		5	58	4		3	1	6
Reuters	20190701	1	2	10	46	1	2	27	308	2	3	18	821	2	84	13	3	10	108	3	92	45	3	33	3	509
The New York Times	20190701				2		1	1		2					11	1	1	1	3	1	1	1			1	6
People	20190701	1	4	11	36	11	5	70	18	6	7		2	32	8	7	1	1	11	41	7	4	21	7	7	7
CNBC	20190701	2	2	3	8		4	12	67	2	2	38	271	1	25	1		4	5	2	89	11		11		140
Vice	20190701				25		1	14	14	4	1	1	4		10	5		2			13	1		2		9
The Hill	20190701	4	1	3	17	1	9	8	32			17	34	1	266	1	1	4	5		23	7		2	1	44
CNN	20190701	2	1	8	18		2	21	42	1	1	7	11	4	88	3	2	6	4	3	19	7	5	9	2	44
Mashable	20190701		4		22			12	13		7		12	1	6			1		5	58	4		3	1	6
Reuters	20190801	1		13	34	1	3	26	309		1	9	667	3	59	8	1	6	141	4	96	38	2	31	2	449
People	20190801	1	6	19	27	15	1	84	31	4	4	2	2	15	13	2			6	35	4	12	40	10	2	7
CNBC	20190801		6	5	13	1	2	16	62	1	1	32	224	2	22	1		4	1	2	66	14	1	8	1	127
Vice	20190801	1	1	2	24	2	1	17	5	2	3	1	4		11	1	1	3	2		9		1	8	2	14
The Hill	20190801	1		8	24	1	8	4	37		2	20	24		176	1	1	3			28	4		8	1	64
CNN	20190801	2	2	6	13	2	3	27	29	1	2	3	10	1	65	2		8	5	3	13	6	2	11	1	57
Mashable	20190801		5		18		2	22	6	2	6		10	2	6	1				3	56	4	2	4	1	3
Reuters	20190801	1		13	34	1	3	26	309		1	9	667	3	59	8	1	6	141	4	96	38	2	31	2	449
People	20190801	1	6	19	27	15	1	84	31	4	4	2	2	15	13	2			6	35	4	12	40	10	2	7
CNBC	20190801		6	5	13	1	2	16	62	1	1	32	224	2	22	1		4	1	2	66	14	1	8	1	127
Vice	20190801	1	1	2	24	2	1	17	5	2	3	1	4		11	1	1	3	2		9		1	8	2	14
The Hill	20190801	1		8	24	1	8	4	37		2	20	24		176	1	1	3			28	4		8	1	64
CNN	20190801	2	2	6	13	2	3	27	29	1	2	3	10	1	65	2		8	5	3	13	6	2	11	1	57
Mashable	20190801		5		18		2	22	6	2	6		10	2	6	1				3	56	4	2	4	1	3
Reuters	20190901		2	7	26	2	1	12	281			13	542	5	68	4	2	7	119	10	72	37		34		412
The New York Times	20190901														1											
People	20190901		3	14	19	13	4	63	19	2	5		1	16	5	4	2		3	29	6	7	18	12	8	7
CNBC	20190901	2	1	1	4	1	3	6	51		1	41	126	1	17	1			6	1	64	6		4	1	75
Vice	20190901	3			10	1	2	3	8	2				2	10			3	1	1	8	1		8	1	8
The Hill	20190901	2	2	3	10	1	6	1	28			14	9		134	1	1		1		15	5		5		30
CNN	20190901			1	5		1	2	2			1		1	7											3
Mashable	20190901		4		14			10	4	1	3		2	1	4	1				2	49	1		2		4
Reuters	20190901		2	7	26	2	1	12	281			13	542	5	68	4	2	7	119	10	72	37		34		412
The New York Times	20190901														1											
People	20190901		3	14	19	13	4	63	19	2	5		1	16	5	4	2		3	29	6	7	18	12	8	7
CNBC	20190901	2	1	1	4	1	3	6	51		1	41	126	1	17	1			6	1	64	6		4	1	75
Vice	20190901	3			10	1	2	3	8	2				2	10			3	1	1	8	1		8	1	8
The Hill	20190901	2	2	3	10	1	6	1	28			14	9		134	1	1		1		15	5		5		30
CNN	20190901			1	5		1	2	2			1		1	7											3
Mashable	20190901		4		14			10	4	1	3		2	1	4	1				2	49	1		2		4
Reuters	20191001	1	1	4	5		1	1	55			7	139	1	16	3	1		20	2	27	9		8		107
People	20191001	1		4	6	4	3	18	5		2			6		2				6	4	4	10	1	1	1
Vice	20191001			1	2			2	2						3						4			3	1	1
Mashable	20191001		1																	1						
Reuters	20191001	1	1	4	5		1	1	55			7	139	1	16	3	1		20	2	27	9		8		107
People	20191001	1		4	6	4	3	18	5		2			6		2				6	4	4	10	1	1	1
Vice	20191001			1	2			2	2						3						4			3	1	1
Mashable	20191001		1																	1						
CNN	20191201														1											
CNN	20191201														1											
